date,open,close,high,low,amount
2021-03-31,70.16,69.59,70.34,68.61,273525.08
2021-04-01,69.36,72.79,73.24,69.16,352045.12
2021-04-02,72.86,74.47,75.86,72.26,291525.38
2021-04-06,74.52,71.74,75.06,71.36,257668.4
2021-04-07,71.74,70.08,71.85,69.24,299774.66
2021-04-08,69.87,70.04,70.28,69.31,182114.06
2021-04-09,70.34,67.81,70.34,67.6,322385.56
2021-04-12,67.66,66.66,68.62,66.36,252774.87
2021-04-13,66.31,66.05,67.18,65.48,213628.28
2021-04-14,66.33,67.49,67.99,66.25,210692.29
2021-04-15,67.49,67.64,68.36,66.32,174452.81
2021-04-16,67.66,67.26,67.96,66.26,153478.18
2021-04-19,67.36,69.03,69.47,66.36,267593.56
2021-04-20,68.44,68.34,68.86,67.39,231533.86
2021-04-21,67.36,66.96,67.86,66.86,251906.06
2021-04-22,66.98,67.61,67.65,66.37,230968.78
2021-04-23,67.78,71.22,71.36,67.62,451415.58
2021-04-26,71.6,67.39,72.36,67.27,418029.19
2021-04-27,67.33,68.08,68.99,66.56,190000.53
2021-04-28,68.36,68.91,69.06,67.44,179025.75
2021-04-29,69.42,70.79,71.61,69.23,298159.63
2021-04-30,72.06,67.53,72.06,67.16,582377.0
2021-05-06,65.67,64.92,67.13,64.85,491159.46
2021-05-07,64.76,62.44,64.91,62.36,437295.14
2021-05-10,63.19,65.36,66.56,63.19,549439.86
2021-05-11,64.52,65.7,66.36,63.95,273334.64
2021-05-12,66.26,64.63,66.26,63.81,273410.35
2021-05-13,63.48,62.51,63.86,62.36,329507.62
2021-05-14,62.66,63.8,63.93,60.98,304811.13
2021-05-17,64.36,65.76,66.71,64.24,418092.3
2021-05-18,67.16,65.2,67.36,64.56,268555.15
2021-05-19,64.41,64.69,65.12,63.86,225052.69
2021-05-20,66.36,68.06,68.22,64.93,735330.93
2021-05-21,68.46,68.91,70.46,68.23,502224.28
2021-05-24,69.99,69.56,70.36,68.31,360149.44
2021-05-25,70.33,70.64,71.56,69.7,417467.44
2021-05-26,71.26,71.69,72.35,69.81,360381.91
2021-05-27,72.35,71.26,72.39,70.79,296156.6
2021-05-28,70.64,69.89,70.65,69.36,387415.14
2021-05-31,70.06,68.36,70.06,67.1,523951.01
2021-06-01,68.27,67.53,68.27,66.68,473370.82
2021-06-02,68.33,68.43,68.43,67.43,342846.54
2021-06-03,68.43,66.86,68.77,66.41,416690.46
2021-06-04,66.34,66.66,67.43,65.46,283066.03
2021-06-07,66.68,65.71,66.7,65.08,277274.99
2021-06-08,65.83,64.95,66.23,64.56,320893.44
2021-06-09,65.2,64.52,65.55,64.13,251380.05
2021-06-10,64.63,64.33,64.87,63.83,320755.63
2021-06-11,64.33,62.93,64.53,62.44,465213.67
2021-06-15,62.8,62.17,63.43,60.93,445900.3
2021-06-16,62.83,63.93,64.19,62.13,449701.85
2021-06-17,64.13,62.39,64.26,62.23,299292.38
2021-06-18,62.26,62.73,63.14,61.09,388178.63
2021-06-21,62.75,60.93,62.76,60.1,477386.43
2021-06-22,60.83,60.21,61.81,59.81,410341.69
2021-06-23,60.14,62.1,62.22,59.63,434043.58
2021-06-24,63.43,62.13,63.43,61.64,287028.16
2021-06-25,62.5,62.1,62.71,61.51,412552.01
2021-06-28,62.11,62.14,62.83,61.43,306845.68
2021-06-29,62.71,60.39,62.73,60.17,349799.11
2021-06-30,60.03,60.3,60.83,59.78,284444.13
2021-07-01,60.23,62.17,62.32,59.49,446417.83
2021-07-02,61.56,60.03,61.68,59.59,403184.36
2021-07-05,59.21,57.13,59.3,55.71,780811.02
2021-07-06,56.59,57.54,58.28,55.74,410636.62
2021-07-07,57.88,59.32,60.88,57.54,559597.61
2021-07-08,58.93,58.93,59.72,57.79,359770.37
2021-07-09,58.48,58.13,59.51,57.64,290798.3
2021-07-12,58.57,59.63,60.43,57.85,404955.49
2021-07-13,59.71,61.73,62.26,59.51,474532.41
2021-07-14,61.38,60.93,61.73,60.49,334055.15
2021-07-15,60.93,60.1,61.28,59.54,319702.43
2021-07-16,60.23,58.63,60.23,57.73,456910.25
2021-07-19,58.72,59.07,59.23,57.53,305611.68
2021-07-20,58.59,58.54,59.15,57.94,230947.8
2021-07-21,58.65,56.92,58.85,56.74,515186.57
2021-07-22,56.92,57.23,58.82,55.91,428837.59
2021-07-23,57.23,55.89,57.81,55.44,424513.36
2021-07-26,54.51,53.61,55.0,52.8,570128.81
2021-07-27,53.6,50.33,53.91,50.33,618698.75
