date,open,close,high,low,amount
2021-04-02,1841.79,1947.79,1950.79,1841.79,52027.57
2021-04-06,1946.79,1911.82,1947.77,1888.09,32741.77
2021-04-07,1889.85,1846.79,1903.09,1835.79,40200.97
2021-04-08,1832.82,1855.79,1864.79,1829.79,28547.62
2021-04-09,1827.79,1805.79,1839.79,1790.8,28808.86
2021-04-12,1796.79,1794.68,1815.79,1777.49,31943.07
2021-04-13,1805.79,1806.79,1835.59,1794.79,28992.15
2021-04-14,1820.79,1832.79,1833.79,1801.79,24114.65
2021-04-15,1816.69,1801.39,1832.69,1775.79,34366.21
2021-04-16,1810.87,1840.77,1853.79,1797.79,30293.7
2021-04-19,1840.79,1873.79,1884.15,1818.79,31753.91
2021-04-20,1856.89,1880.59,1914.79,1855.79,28290.37
2021-04-21,1861.79,1865.79,1883.59,1850.89,26149.75
2021-04-22,1875.69,1841.29,1884.79,1837.29,26850.02
2021-04-23,1841.76,1894.73,1905.67,1838.29,33462.77
2021-04-26,1917.79,1863.61,1920.79,1859.39,34045.11
2021-04-27,1872.87,1880.23,1881.04,1850.88,22107.85
2021-04-28,1795.79,1827.79,1833.29,1788.79,81342.95
2021-04-29,1832.83,1812.15,1835.73,1799.79,41283.78
2021-04-30,1811.79,1792.57,1821.79,1789.5,38401.37
2021-05-06,1785.79,1744.79,1792.63,1738.79,53546.14
2021-05-07,1750.79,1688.79,1753.77,1686.79,52493.39
2021-05-10,1685.79,1664.82,1694.79,1651.8,46003.18
2021-05-11,1661.79,1744.79,1751.79,1659.09,42494.12
2021-05-12,1734.87,1769.79,1784.79,1734.79,32698.87
2021-05-13,1751.54,1757.29,1770.84,1738.79,25077.51
2021-05-14,1767.79,1795.64,1816.29,1761.79,35611.29
2021-05-17,1810.89,1843.75,1870.99,1810.89,44524.0
2021-05-18,1850.79,1845.1,1862.79,1830.85,17504.28
2021-05-19,1844.79,1834.79,1860.6,1825.79,22409.72
2021-05-20,1859.79,1844.67,1859.89,1831.15,21857.16
2021-05-21,1840.87,1827.89,1865.67,1822.81,24248.23
2021-05-24,1836.79,1857.08,1865.85,1816.79,32548.08
2021-05-25,1870.79,1980.29,1985.89,1870.79,67756.95
2021-05-26,1993.77,2005.79,2027.59,1978.87,38604.2
2021-05-27,1996.81,2030.79,2105.79,1986.89,45373.38
2021-05-28,2026.76,2015.79,2035.79,1991.3,25807.31
2021-05-31,2001.29,2003.79,2004.14,1957.79,31739.0
2021-06-01,2007.79,2026.74,2034.74,1991.79,30616.34
2021-06-02,2035.79,2007.79,2049.79,1993.97,22862.77
2021-06-03,2005.79,2008.01,2046.13,1995.87,23450.31
2021-06-04,2000.79,2037.29,2073.79,1999.83,31422.19
2021-06-07,2050.79,2056.79,2064.79,2025.8,25466.27
2021-06-08,2045.79,1976.79,2065.78,1946.94,47313.63
2021-06-09,1977.79,1985.29,1999.79,1945.9,25502.35
2021-06-10,1980.79,2024.27,2037.16,1975.87,25566.63
2021-06-11,2024.79,1964.6,2029.79,1964.6,33970.66
2021-06-15,1980.89,1978.79,1994.67,1933.79,29361.3
2021-06-16,1977.79,1943.79,1980.79,1933.79,27593.15
2021-06-17,1941.44,1942.7,1973.79,1930.15,21067.53
2021-06-18,1932.79,1876.73,1942.29,1850.79,54028.21
2021-06-21,1870.79,1867.43,1885.48,1835.79,35488.26
2021-06-22,1877.79,1860.76,1883.79,1839.68,33228.18
2021-06-23,1865.79,1823.79,1868.79,1819.94,37079.01
2021-06-24,1825.8,1853.84,1865.79,1806.79,31473.7
2021-06-25,1855.04,1897.08,1914.08,1847.68,35875.43
2021-06-28,1905.08,1908.09,1923.08,1878.08,27452.42
2021-06-29,1913.08,1867.08,1920.08,1856.08,33030.63
2021-06-30,1870.08,1861.78,1879.08,1851.38,21915.66
2021-07-01,1865.05,1910.08,1915.08,1836.68,33701.24
2021-07-02,1880.08,1818.08,1880.08,1816.58,46275.31
2021-07-05,1805.08,1799.08,1824.96,1790.08,34420.95
2021-07-06,1800.08,1817.98,1819.08,1765.09,35282.51
2021-07-07,1815.08,1809.08,1833.96,1804.09,28122.12
2021-07-08,1805.18,1790.08,1809.08,1773.08,35516.69
2021-07-09,1769.6,1777.19,1790.99,1750.08,30907.9
2021-07-12,1780.63,1766.08,1803.86,1745.58,39010.24
2021-07-13,1773.08,1787.98,1810.58,1770.08,29924.71
2021-07-14,1779.08,1767.08,1779.58,1750.08,30770.69
2021-07-15,1760.1,1803.07,1818.08,1755.68,42190.05
2021-07-16,1785.08,1760.98,1801.68,1755.08,35407.64
2021-07-19,1760.97,1780.08,1791.08,1746.08,30052.34
2021-07-20,1780.08,1785.08,1794.01,1766.49,23475.21
2021-07-21,1794.08,1774.08,1811.08,1767.09,29780.13
2021-07-22,1765.08,1745.09,1778.98,1744.04,39090.47
2021-07-23,1742.9,1705.08,1742.9,1700.17,47585.47
2021-07-26,1684.08,1609.19,1684.08,1585.08,98619.48
2021-07-27,1608.08,1517.97,1615.08,1508.08,86576.99
2021-07-28,1508.08,1573.98,1593.28,1487.2,85368.84
2021-07-29,1615.09,1554.87,1628.08,1539.42,63863.85
2021-07-30,1530.08,1484.07,1530.08,1462.84,77735.89
2021-08-02,1469.08,1560.08,1561.06,1425.8,97400.65
2021-08-03,1535.08,1554.38,1574.07,1493.88,54374.75
2021-08-04,1539.14,1529.08,1565.08,1523.08,38175.49
2021-08-05,1497.96,1504.08,1550.08,1481.44,48059.69
2021-08-06,1494.08,1476.08,1499.09,1451.68,45686.1
2021-08-09,1456.08,1498.88,1514.08,1455.08,47697.75
2021-08-10,1505.08,1604.08,1607.96,1480.08,83285.05
2021-08-11,1585.09,1555.58,1590.09,1555.09,38662.59
2021-08-12,1537.08,1495.08,1554.08,1491.27,47550.97
2021-08-13,1495.08,1505.12,1518.08,1484.08,37904.52
2021-08-16,1501.08,1504.28,1518.68,1490.16,28056.97
2021-08-17,1505.08,1440.08,1505.08,1433.96,61200.77
2021-08-18,1429.74,1425.08,1448.07,1405.08,59970.26
2021-08-19,1427.3,1425.05,1448.28,1405.08,41291.95
2021-08-20,1360.25,1353.08,1402.63,1330.58,114544.54
2021-08-23,1342.96,1375.27,1404.08,1341.85,71597.2
2021-08-24,1380.08,1430.26,1447.63,1370.85,72594.47
2021-08-25,1452.72,1470.1,1485.95,1448.08,54238.9
2021-08-26,1470.07,1400.08,1470.07,1399.8,54020.37
2021-08-27,1394.08,1401.11,1430.08,1389.18,36095.45
2021-08-30,1410.08,1391.08,1418.08,1351.03,51587.7
2021-08-31,1394.88,1363.08,1421.43,1360.18,43677.09
2021-09-01,1364.08,1427.09,1440.07,1336.18,77316.1
2021-09-02,1438.07,1423.88,1448.08,1405.97,42836.79
2021-09-03,1415.1,1463.3,1464.87,1387.08,52835.18
2021-09-06,1454.08,1475.75,1513.24,1431.23,55338.06
2021-09-07,1466.11,1474.08,1489.56,1456.08,31211.22
2021-09-08,1465.08,1438.18,1476.26,1433.16,33063.67
2021-09-09,1431.08,1439.16,1450.08,1429.09,19950.13
2021-09-10,1439.16,1467.66,1473.88,1438.08,33388.11
2021-09-13,1470.08,1459.08,1489.08,1445.18,27720.02
2021-09-14,1464.08,1462.08,1488.08,1458.08,33760.61
2021-09-15,1455.08,1420.82,1465.08,1415.08,41570.05
2021-09-16,1408.08,1443.15,1449.08,1390.08,45968.02
2021-09-17,1425.08,1491.08,1510.68,1425.08,55130.25
2021-09-22,1463.91,1442.77,1493.08,1440.08,31743.0
2021-09-23,1443.08,1440.08,1460.96,1430.16,30341.81
2021-09-24,1433.08,1499.08,1525.06,1433.08,69536.6
2021-09-27,1555.08,1660.08,1668.48,1555.08,126868.92
2021-09-28,1653.08,1627.14,1665.08,1600.08,49221.05
2021-09-29,1614.08,1625.08,1650.09,1590.98,43290.65
2021-09-30,1623.26,1635.08,1655.3,1608.48,40539.29
2021-10-08,1627.5,1644.68,1683.08,1612.31,47451.96
2021-10-11,1644.59,1672.2,1694.98,1636.09,37675.57
2021-10-12,1671.08,1676.07,1682.08,1647.5,30606.42
2021-10-13,1675.08,1734.98,1755.03,1667.08,50142.61
2021-10-14,1734.01,1716.08,1746.88,1701.08,26622.55
2021-10-15,1695.18,1722.05,1735.07,1695.18,28560.78
2021-10-18,1693.08,1605.08,1693.08,1592.08,69652.02
2021-10-19,1605.08,1617.26,1643.88,1604.96,40314.56
2021-10-20,1638.08,1646.08,1654.88,1611.09,28663.39
2021-10-21,1646.18,1649.08,1665.08,1634.08,23018.7
2021-10-22,1660.08,1706.08,1726.09,1659.08,35962.6
2021-10-25,1685.08,1678.11,1690.09,1663.08,32461.33
2021-10-26,1669.11,1666.13,1684.07,1649.08,21130.26
2021-10-27,1657.38,1624.08,1663.38,1605.18,34647.29
2021-10-28,1630.28,1630.57,1648.86,1607.08,29490.93
2021-10-29,1630.08,1631.16,1653.08,1618.08,28775.86
2021-11-01,1585.08,1608.08,1631.38,1565.08,41689.98
2021-11-02,1601.78,1609.72,1649.3,1593.08,32500.24
2021-11-03,1605.08,1570.08,1615.06,1566.27,27829.31
2021-11-04,1583.02,1609.28,1621.08,1574.5,31130.43
2021-11-05,1609.29,1625.02,1650.07,1609.29,27077.23
2021-11-08,1625.08,1625.18,1635.88,1607.13,17705.72
2021-11-09,1625.06,1595.09,1632.95,1587.08,27351.92
2021-11-10,1595.09,1559.07,1600.08,1540.08,35348.77
2021-11-11,1558.01,1574.68,1574.68,1546.58,22651.87
2021-11-12,1583.08,1578.86,1590.13,1571.74,17606.63
2021-11-15,1578.76,1566.22,1589.08,1555.08,24947.35
2021-11-16,1573.08,1613.08,1623.08,1570.08,33526.24
2021-11-17,1610.08,1600.08,1625.58,1595.09,24505.46
2021-11-18,1586.3,1597.08,1612.08,1575.08,19520.89
2021-11-19,1599.27,1633.49,1654.08,1593.28,31155.59
2021-11-22,1654.08,1659.35,1714.08,1653.08,42572.68
2021-11-23,1657.08,1701.51,1722.08,1657.08,45782.2
2021-11-24,1705.08,1746.08,1771.08,1702.08,54512.35
2021-11-25,1758.08,1761.11,1791.28,1751.33,39752.88
2021-11-26,1769.91,1746.09,1772.08,1730.08,32655.57
2021-11-29,1765.08,1790.08,1795.08,1756.16,42399.34
2021-11-30,1790.48,1735.85,1794.98,1732.58,36924.87
2021-12-01,1755.08,1738.07,1765.03,1724.1,26254.4
2021-12-02,1745.08,1739.08,1747.23,1724.68,20421.82
2021-12-03,1737.08,1776.96,1793.7,1736.13,35818.39
2021-12-06,1788.08,1772.38,1795.08,1755.08,31063.88
2021-12-07,1785.82,1760.95,1792.95,1751.81,36979.89
2021-12-08,1769.96,1848.08,1850.08,1755.08,61048.07
2021-12-09,1860.02,1891.63,1922.0,1850.08,64239.18
2021-12-10,1865.08,1895.08,1900.86,1861.08,43148.22
2021-12-13,1959.08,1923.28,1985.08,1923.08,65806.56
2021-12-14,1923.28,1955.08,1972.98,1905.08,40449.41
2021-12-15,1947.23,1940.08,1970.03,1930.1,30078.27
2021-12-16,1920.08,1924.07,1949.13,1891.31,37211.36
2021-12-17,1905.58,1855.78,1913.08,1841.08,48403.18
2021-12-20,1855.78,1864.04,1890.74,1846.08,32257.69
2021-12-21,1850.08,1843.28,1874.21,1817.91,26285.89
2021-12-22,1845.08,1853.08,1868.08,1845.08,17430.79
2021-12-23,1858.08,1925.08,1925.08,1830.08,39098.54
2021-12-24,1953.96,1999.17,2022.04,1953.96,56129.59
2021-12-27,1973.08,1936.9,1973.08,1917.08,37555.9
2021-12-28,1938.08,1943.26,1960.58,1921.68,27650.7
2021-12-29,1955.08,1846.08,1959.33,1846.08,54049.02
2021-12-30,1846.08,1880.08,1894.06,1833.08,35261.36
2021-12-31,1875.08,1855.08,1878.06,1833.08,29664.91
2022-01-04,1860.08,1856.31,1874.03,1819.08,33842.62
2022-01-05,1850.08,1829.08,1870.08,1823.08,28395.51
2022-01-06,1827.09,1787.3,1841.08,1743.59,51794.75
2022-01-07,1780.08,1747.08,1793.96,1744.4,29816.69
2022-01-10,1733.09,1771.08,1782.08,1722.63,29626.7
2022-01-11,1753.08,1745.63,1770.08,1736.25,22276.64
2022-01-12,1753.08,1772.08,1783.88,1753.08,27474.1
2022-01-13,1769.9,1682.47,1773.07,1670.64,56747.35
2022-01-14,1682.47,1672.08,1698.08,1668.08,29321.64
2022-01-17,1673.08,1666.69,1683.38,1640.42,27353.82
2022-01-18,1666.76,1697.35,1713.93,1657.08,31215.77
2022-01-19,1724.08,1717.08,1724.08,1693.96,26370.94
2022-01-20,1721.08,1774.6,1785.07,1721.08,34013.91
2022-01-21,1765.08,1790.07,1798.57,1756.09,30812.58
2022-01-24,1760.08,1755.28,1789.08,1736.52,23985.8
2022-01-25,1748.08,1748.08,1771.08,1736.08,25510.12
2022-01-26,1747.12,1760.08,1774.08,1724.08,23905.13
2022-01-27,1806.09,1770.08,1815.9,1757.08,42665.16
2022-01-28,1760.08,1692.08,1773.08,1685.09,41020.11
2022-02-07,1706.07,1673.04,1718.64,1655.08,35150.42
2022-02-08,1673.96,1644.08,1677.95,1595.08,41713.06
2022-02-09,1644.17,1701.06,1713.08,1632.05,33884.79
2022-02-10,1705.08,1678.08,1710.98,1662.47,23031.83
2022-02-11,1662.08,1655.05,1705.87,1646.08,33746.49
2022-02-14,1645.08,1673.75,1682.08,1642.39,20195.87
2022-02-15,1673.88,1695.7,1716.08,1664.08,27105.86
2022-02-16,1705.08,1697.63,1712.08,1693.08,14586.85
2022-02-17,1705.69,1692.07,1716.56,1686.08,18213.66
2022-02-18,1682.71,1712.08,1713.06,1670.74,19385.49
