# A-share market and policy news

发布时间,标题,摘要,链接
2026-04-02 17:28:30,2026年3月A股新开户460.14万户,上交所数据显示，2026年3月A股新开户460.14万户，2月A股新开户252.3万户。,https://finance.eastmoney.com/a/202604023693505989.html
2026-04-02 17:26:58,溴素价格创新高：供给短缺 上市公司无库存只供应长协客户,【溴素价格创新高：供给短缺 上市公司无库存只供应长协客户】记者采访产业链多家企业获悉，今年以来，国内供给短缺叠加海外供应不畅，溴素价格进入上行通道。进入3月，溴素价格曲线变得极为陡峭，最新成交价已涨至7.8万元/吨，月涨幅高达90%。从溴素到溴系阻燃剂，业内企业几乎均处于零库存状态，下游刚性需求难以满足。,https://finance.eastmoney.com/a/202604023693505064.html
2026-04-02 17:22:44,工信部：实施算力人才培训计划 坚持“源头培养”与“在岗提升”并重,【工信部：实施算力人才培训计划 坚持“源头培养”与“在岗提升”并重】工业和信息化部办公厅发布关于开展普惠算力赋能中小企业发展专项行动的通知。其中指出，实施算力人才培训计划。坚持“源头培养”与“在岗提升”并重，鼓励在中小企业数字化转型城市试点开展能力建设培训，组织算力领域专家与行业实务人才，开发一批普惠算力应用精品课程。,https://finance.eastmoney.com/a/202604023693499693.html
2026-04-02 17:22:12,我国科研团队在新一代集成显示技术领域取得突破,【我国科研团队在新一代集成显示技术领域取得突破】记者2日从福州大学获悉，此校联合闽都创新实验室在超高清集成显示技术领域取得突破，由福州大学物理与信息工程学院李福山教授团队牵头，成功研发出一种面向增强现实（AR）、虚拟现实（VR）的超高分辨率量子点显示技术。,https://finance.eastmoney.com/a/202604023693498262.html
2026-04-02 17:21:37,工信部：鼓励高校、科研院所与龙头企业联合开放算力资源、数据接口和工具链 降低中小企业技术研发与试验成本,【工信部：鼓励高校、科研院所与龙头企业联合开放算力资源、数据接口和工具链 降低中小企业技术研发与试验成本】工业和信息化部办公厅关于开展普惠算力赋能中小企业发展专项行动。其中提到，鼓励高校、科研院所与龙头企业联合开放算力资源、数据接口和工具链，降低中小企业技术研发与试验成本。,https://finance.eastmoney.com/a/202604023693497296.html
2026-04-02 17:21:12,工信部：推动全光交换等技术应用部署 降低算力应用终端到服务器的网络时延,【工信部：推动全光交换等技术应用部署 降低算力应用终端到服务器的网络时延】工业和信息化部办公厅发布关于开展普惠算力赋能中小企业发展专项行动的通知。其中指出，增强算网融合支撑能力。推动全光交换等技术应用部署，降低算力应用终端到服务器的网络时延，提升应用交互体验。,https://finance.eastmoney.com/a/202604023693495881.html
2026-04-02 17:20:37,工信部：积极培育人工智能应用服务商 完善人工智能应用服务体系,【工信部：积极培育人工智能应用服务商 完善人工智能应用服务体系】工业和信息化部办公厅关于开展普惠算力赋能中小企业发展专项行动。其中提到，提升算力服务易用性。积极培育人工智能应用服务商，打造人工智能应用服务链，完善人工智能应用服务体系，促进人工智能应用落地。,https://finance.eastmoney.com/a/202604023693495221.html
2026-04-02 17:19:59,工信部：引导基础电信企业、算力服务企业等各类主体建设面向中小企业的先进存力中心,【工信部：引导基础电信企业、算力服务企业等各类主体建设面向中小企业的先进存力中心】工业和信息化部办公厅发布关于开展普惠算力赋能中小企业发展专项行动的通知。其中指出，提升数据存储响应能力。引导基础电信企业、算力服务企业等各类主体建设面向中小企业的先进存力中心，提供就近接入的海量数据供给资源池，面向中小企业提供高性能存储、跨域流动的人工智能数据平台等服务，...,https://finance.eastmoney.com/a/202604023693493889.html
2026-04-02 17:19:26,工信部：探索“算力银行”“算力超市”等创新业务 支持中小企业存入闲置算力资源,【工信部：探索“算力银行”“算力超市”等创新业务 支持中小企业存入闲置算力资源】工业和信息化部办公厅关于开展普惠算力赋能中小企业发展专项行动。其中提到，创新算力服务普惠模式。探索“算力银行”“算力超市”等创新业务，支持中小企业存入闲置算力资源，通过跨区域、跨周期调度实现灵活取用。,https://finance.eastmoney.com/a/202604023693493269.html
2026-04-02 17:18:53,工信部：鼓励设立中小企业专属算力池,【工信部：鼓励设立中小企业专属算力池】工业和信息化部办公厅发布关于开展普惠算力赋能中小企业发展专项行动的通知。其中指出，优化算力资源供给部署。鼓励设立中小企业专属算力池，推广统一接口规范协议，支持算力服务企业灵活接入，面向中小企业提供普惠便利的算力资源。,https://finance.eastmoney.com/a/202604023693493036.html
