# A-share market and policy news

发布时间,标题,摘要,链接
2026-04-02 18:33:58,马克龙：通过军事行动“解放”霍尔木兹海峡不现实,【马克龙：通过军事行动“解放”霍尔木兹海峡不现实】法国总统马克龙当地时间2日表示，通过军事行动“解放”霍尔木兹海峡是“不现实的”。美国和以色列对伊朗发动的战争无法“从长远上解决”伊朗核问题。,https://finance.eastmoney.com/a/202604023693564717.html
2026-04-02 18:32:47,地区协同反击加剧以军面临兵员短缺,【地区协同反击加剧以军面临兵员短缺】4月1日，以空军继续空袭伊朗，但同时伊朗、黎巴嫩真主党与也门胡塞武装也对以色列展开多波次协同打击。以军总参谋长扎米尔当天向政府发出严厉警告，指出预备役人员被反复征召已不堪重负，多线作战压力持续加大，以军面临数千名战斗人员的短缺。,https://finance.eastmoney.com/a/202604023693564433.html
2026-04-02 18:31:32,中国人民银行新增12家数字人民币业务运营机构,【中国人民银行新增12家数字人民币业务运营机构】为贯彻落实“十五五”规划纲要关于“稳步发展数字人民币”的决策部署，进一步提升数字人民币服务的普惠性，持续响应人民群众对安全、便捷、高效的数字人民币服务需求，中国人民银行新增中信银行、中国光大银行、华夏银行、中国民生银行、广发银行、浦发银行、浙商银行、宁波银行、江苏银行、北京银行、南京银行、苏州银行成为银行...,https://finance.eastmoney.com/a/202604023693564035.html
2026-04-02 18:30:08,伊拉克武装组织：美军不会有安全避风港,【伊拉克武装组织：美军不会有安全避风港】“伊拉克伊斯兰抵抗运动”旗下武装组织“高贵者运动”2日发表声明，谴责美国和以色列袭击伊拉克什叶派民兵武装，表示“只要伊拉克人仍在流血，美军士兵在伊拉克就不会有安全的避风港”。,https://finance.eastmoney.com/a/202604023693563442.html
2026-04-02 18:28:28,普京：俄罗斯已准备好尽一切努力恢复中东和平,【普京：俄罗斯已准备好尽一切努力恢复中东和平】俄罗斯总统普京称，俄罗斯已准备好尽一切努力恢复中东和平。他还表示，俄罗斯和埃及可能讨论粮食和能源枢纽。,https://finance.eastmoney.com/a/202604023693562718.html
2026-04-02 18:27:18,印尼财长：印尼将于今年开征煤炭出口税,印尼财长称，印尼将于今年开征煤炭出口税。,https://finance.eastmoney.com/a/202604023693561456.html
2026-04-02 18:26:55,巴基斯坦总理：正持续努力推动中东地区的和平进程,巴基斯坦总理表示，该国正持续努力推动中东地区的和平进程。,https://finance.eastmoney.com/a/202604023693561244.html
2026-04-02 18:22:46,巴西对华装饰纸作出反倾销初裁,【巴西对华装饰纸作出反倾销初裁】据商务部官网，2026年3月27日，巴西外贸秘书处（SECEX）在官方日报发布2026年第22号公告，对原产于中国的装饰纸作出反倾销肯定性初裁，但暂不采取临时反倾销措施。,https://finance.eastmoney.com/a/202604023693559996.html
2026-04-02 18:20:24,马克龙：只有与伊朗协商才能重新开放霍尔木兹海峡,【马克龙：只有与伊朗协商才能重新开放霍尔木兹海峡】法国总统马克龙表示，以军事手段打开霍尔木兹海峡不现实，只有与伊朗协商才能重新开放霍尔木兹海峡。,https://finance.eastmoney.com/a/202604023693558370.html
2026-04-02 18:19:06,印度据悉正积极考虑增加战略石油储备,印度据悉正积极考虑增加战略石油储备。,https://finance.eastmoney.com/a/202604023693556821.html
