# A-share market and policy news

发布时间,标题,摘要,链接
2026-04-03 16:10:42,京东方A：获得不超过50亿元回购贷款承诺函,【京东方A：获得不超过50亿元回购贷款承诺函】京东方A(000725.SZ)公告称，近日公司收到工商银行北京市分行出具的《贷款承诺函》，根据公司股票回购需求，该行承诺对该项目提供不超过人民币50亿元，且不超过回购交易价款90%的上市公司股票回购贷款支持，期限不超过3年。,https://finance.eastmoney.com/a/202604033694916092.html
2026-04-03 16:09:44,网信办就《小型个人信息处理者个人信息保护简化措施规定（征求意见稿）》公开征求意见,【网信办就《小型个人信息处理者个人信息保护简化措施规定（征求意见稿）》公开征求意见】国家网信办就《小型个人信息处理者个人信息保护简化措施规定（征求意见稿）》公开征求意见。,https://finance.eastmoney.com/a/202604033694914779.html
2026-04-03 16:08:07,*ST精伦：股票触及交易类强制退市 4月7日起停牌,【*ST精伦：股票触及交易类强制退市 4月7日起停牌】*ST精伦(600355.SH)公告称，公司股票连续20个交易日每日收盘总市值均低于人民币5亿元，已触及交易类强制退市指标。上交所将在履行相关审议程序后作出是否终止上市的决定，并在决定公告后5个交易日内予以摘牌。,https://finance.eastmoney.com/a/202604033694913975.html
2026-04-03 16:07:32,美国将从6日开始调整对进口钢、铝、铜及相关衍生产品加征的从价关税,【美国将从6日开始调整对进口钢、铝、铜及相关衍生产品加征的从价关税】美国白宫发布公告，特朗普签署文件，依据《1962年贸易扩展法》第232条款，美国将从6日开始调整对进口钢、铝、铜及相关衍生产品加征的从价关税。,https://finance.eastmoney.com/a/202604033694913432.html
2026-04-03 16:07:03,伊朗红新月会仓库遭袭,【伊朗红新月会仓库遭袭】据伊朗法尔斯通讯社报道，伊朗南部布什尔省一处红新月会仓库3日遭到袭击，部分设备被毁，尚无人员伤亡报告。,https://finance.eastmoney.com/a/202604033694913265.html
2026-04-03 16:06:05,蔚来：犯罪嫌疑人控制4000余账号抹黑蔚来 已被采取刑事强制措施,【蔚来：犯罪嫌疑人控制4000余账号抹黑蔚来 已被采取刑事强制措施】蔚来法务部发文表示，近期自公安机关获悉，警方已成功破获一起利用AI“洗稿”实施造谣的案件。犯罪嫌疑人通过4000余个自媒体账号，持续发布针对蔚来等企业经营状况的负面不实信息，以此博取流量、谋取不正当利益，相关内容累计点击量已达8000万。目前，公安机关已依法对犯罪嫌疑人采取刑事强制措施。,https://finance.eastmoney.com/a/202604033694913180.html
2026-04-03 15:59:39,伊朗对以色列发动新一轮导弹袭击,【伊朗对以色列发动新一轮导弹袭击】当地时间4月3日，据伊朗方面消息，伊朗对以色列发动新一轮导弹袭击。以色列方面对此暂无回应。,https://finance.eastmoney.com/a/202604033694911238.html
2026-04-03 15:56:18,科威特：电力及水淡化厂遭到袭击,科威特表示，其电力及水淡化厂遭到袭击，工作人员正在处置。,https://finance.eastmoney.com/a/202604033694910857.html
2026-04-03 15:55:06,上汽集团：今年将在不同品牌逐步推出搭载半固态电池的量产车型,【上汽集团：今年将在不同品牌逐步推出搭载半固态电池的量产车型】上汽集团4月3日在互动平台称，今年起，公司将在不同品牌逐步推出搭载半固态电池的量产车型，具体安排以各品牌发布的信息为准。公司力争全年整车销量达到500万辆，营业总收入超过7000亿元，营业成本在6300亿元左右。,https://finance.eastmoney.com/a/202604033694910552.html
2026-04-03 15:53:29,兴齐眼药：酒石酸溴莫尼定滴眼液获得药品注册证书,【兴齐眼药：酒石酸溴莫尼定滴眼液获得药品注册证书】兴齐眼药公告，公司收到国家药品监督管理局签发的酒石酸溴莫尼定滴眼液《药品注册证书》。该产品用于降低开角型青光眼及高眼压症患者的眼压。,https://finance.eastmoney.com/a/202604033694910439.html
