# A-share market and policy news

发布时间,标题,摘要,链接
2026-04-03 17:18:42,伊朗警告将摧毁美以在中东所有资产,【伊朗警告将摧毁美以在中东所有资产】伊朗媒体3日报道，伊朗军方发表声明说，若美国敢对伊朗基础设施动手，伊朗将摧毁美国和以色列在中东地区的“所有资产和基础设施”。,https://finance.eastmoney.com/a/202604033695016780.html
2026-04-03 17:15:50,伊朗称正等着美军送上门,【伊朗称正等着美军送上门】伊朗武装部队发言人阿布法兹勒·谢卡尔希4月2日在接受采访时表示，霍尔木兹海峡将继续对美国和以色列关闭，美国总统特朗普对伊朗发动战争是基于错误的计算，伊朗正等着美国发起地面行动，届时伊朗将会给美国一个教训，让美国永远不敢再对任何国家、哪怕是这世界上最弱小的国家抱有侵略的念头。,https://finance.eastmoney.com/a/202604033695014990.html
2026-04-03 17:15:22,科威特一电力和海水淡化厂遭袭,【科威特一电力和海水淡化厂遭袭】据科威特通讯社3日报道，科威特电力、水利和可再生能源部发言人法蒂玛·哈亚特说，伊朗当日发动的袭击导致科威特一座电力和海水淡化厂受损。,https://finance.eastmoney.com/a/202604033695013486.html
2026-04-03 17:14:40,证监会同意嘉德利上交所主板IPO注册,【证监会同意嘉德利上交所主板IPO注册】4月3日，证监会同意泉州嘉德利电子材料股份公司（简称“嘉德利”）首次公开发行股票并在上交所主板上市的注册申请。,https://finance.eastmoney.com/a/202604033695019286.html
2026-04-03 17:14:39,望变电气：2025年净利润6924.32万元 同比增长6.26%,【望变电气：2025年净利润6924.32万元 同比增长6.26%】4月3日，望变电气公告，公司2025年实现营业收入39.17亿元，同比增长16.87%；利润总额7939.40万元，同比下降9.23%；归属于上市公司股东的净利润6924.32万元，同比增长6.26%。,https://finance.eastmoney.com/a/202604033695014480.html
2026-04-03 17:11:16,蓝箭航天张晓东：朱雀三号2026上半年遥二箭回收试验 四季度力争首次复用飞行,【蓝箭航天张晓东：朱雀三号2026上半年遥二箭回收试验 四季度力争首次复用飞行】4月3日，蓝箭航天朱雀三号可重复使用火箭总设计师张晓东表示，2026年将继续尝试回收复用，其中2026年上半年遥二箭再次开展回收试验；根据回收试验情况争取于第四季度尝试首次回收复用飞行。,https://finance.eastmoney.com/a/202604033695007740.html
2026-04-03 17:07:39,仙鹤股份：实控人之一王明龙因涉嫌短线交易被立案,【仙鹤股份：实控人之一王明龙因涉嫌短线交易被立案】仙鹤股份(603733.SH)公告称，公司收到实际控制人之一王明龙的通知，其于2026年4月3日收到中国证监会出具的《立案告知书》。王明龙因涉嫌短线交易被证监会决定立案调查。本次立案系针对王明龙个人。,https://finance.eastmoney.com/a/202604033695003781.html
2026-04-03 17:07:15,意大利2025年赤字占GDP的3.1% 突破欧盟上限,意大利2025年赤字占GDP的3.1%，突破了欧盟的上限。,https://finance.eastmoney.com/a/202604033695003417.html
2026-04-03 17:06:48,担心风险、不满美对外干预 超2000名数学家抵制赴美参会,【担心风险、不满美对外干预 超2000名数学家抵制赴美参会】近日，围绕2026年国际数学家大会会址的争议持续升温，2000多名学者公开呼吁将本届大会迁出美国。,https://finance.eastmoney.com/a/202604033695002898.html
2026-04-03 17:04:50,四川路桥：下属企业中标南充至广安铁路60.69亿元项目并参与设立合伙企业,【四川路桥：下属企业中标南充至广安铁路60.69亿元项目并参与设立合伙企业】4月3日，四川路桥(600039.SH)公告称，公司下属企业近日收到中标通知书，成为新建南充至广安铁路站前工程NGZQSG-02及NGZQSG-05标段中标人，中标价合计约60.69亿元。为取得该项目施工份额，公司下属企业与其它合伙人共同签订合伙协议。,https://finance.eastmoney.com/a/202604033695000935.html
