# A-share company news for 000333.SZ

发布时间,文章来源,新闻标题,新闻内容,新闻链接
2026-04-01 18:09:00,财中社,美的集团回购131万股 金额1亿元,4月1日，美的集团（000333/00300）发布公告，截至2026年3月31日，公司累计回购131万股，占总股本的0.0172%，回购价格区间为76.20元/股至77.19元/股，支付总金额为1亿元。,http://finance.eastmoney.com/a/202604013692055047.html
2026-03-31 18:41:00,财中社,美的集团首次回购130万股 金额1亿元,3月31日，美的集团（000333/00300）发布公告，首次以集中竞价方式回购130万股，占总股本的0.0172%，回购金额为1亿元，成交价格区间为76.2元/股至77.19元/股。 2025年，美的集团实现收入4585.02亿元，归母净利润439.45亿元。,http://finance.eastmoney.com/a/202603313690583313.html
2026-03-31 18:34:03,每日经济新闻,美的集团：3月31日回购130.51万股 耗资约1亿元,每经AI快讯，3月31日，美的集团000333.SZ)公告称，公司于2026年3月31日通过回购专用证券账户，首次以集中竞价方式回购A股股份。,http://finance.eastmoney.com/a/202603313690579022.html
2026-03-31 09:55:00,财中社,美的集团拟每10股派发现金分红38元,3月30日，美的集团（000333/00300）发布公告，公司2025年度利润分配方案为每10股派发现金38元（含税），预计总派发金额为285.87亿元。 同时，公司已实施2025年中期现金分红每10股5元（含税），总金额为37.74亿元。,http://finance.eastmoney.com/a/202603313690075168.html
2026-03-30 23:13:00,上海证券报,000333 拟派现286亿+不超过130亿回购,数据显示，2025年，美的家用空调压缩机、家用空调电机、洗衣机电机的全球市场销量份额均稳居第一，美的中央空调、商用多联机、离心机组国内市场销售额均稳居第一。此外，菱王电梯连续3年领跑国内货梯行业细分市场，美的旗下的库卡集团成为全球工业机器人“四大家族”之一。,http://finance.eastmoney.com/a/202603303689271092.html
2026-03-30 22:24:19,央广财经,美的集团2025年净利润同比增长14.03%至439.5亿元 拟每10股派息38元,3月30日，美的集团（000333.SZ）发布公告称，公司2025年实现净利润439.5亿元，较上年同期增长14.03%。同时，公司披露了年末利润分配方案，拟向全体股东每10股派发现金红利38元。（央广财经）,http://finance.eastmoney.com/a/202603303689236471.html
2026-03-30 21:06:38,北京商报,美的集团2025年净利439.45亿元，同比增长14.03%,北京商报讯3月30日晚间，美的集团（000333）发布2025年年报显示，公司全年实现归属净利润约为439.45亿元，同比增长14.03%。,http://finance.eastmoney.com/a/202603303689048137.html
2026-03-30 21:06:37,北京商报,美的集团拟65亿—130亿元回购公司股份,北京商报讯3月30日晚间，美的集团（000333）披露公告称，公司召开第五届董事会第十三次会议，同意公司以集中竞价方式回购A股股份，回购金额不低于65亿元且不超过130亿元，回购价格不超过100元/股。,http://finance.eastmoney.com/a/202603303689048051.html
2026-03-30 20:27:00,证券时报,美的集团：拟以65亿元—130亿元回购公司股份,人民财讯3月30日电，美的集团0003333月30日公告，公司拟以自有资金及/或股票回购专项贷款65亿元—130亿元通过集中竞价交易方式回购股份，用于实施股权激励计划及/或员工持股计划。回购价格不超过100元/股。,http://finance.eastmoney.com/a/202603303689016360.html
2026-03-30 20:20:42,每日经济新闻,美的集团：拟65亿元至130亿元回购A股股份,3月30日，美的集团000333.SZ)公告称，公司董事会审议通过回购方案，拟以集中竞价方式回购A股股份，回购金额不低于65亿元且不超过130亿元，回购价格不超过100元/股。回购股份将用于实施股权激励计划及/或员工持股计划，期限自董事会通过之日起12个月内。,http://finance.eastmoney.com/a/202603303689005560.html
