# A-share price data for 002644.SZ from 2025-11-01 to 2026-04-03
# Records: 101

Date,Open,High,Low,Close,Amount,PctChange
2025-11-03,9.01,9.1,9.0,9.1,45315.0,
2025-11-04,9.07,9.12,9.02,9.09,37814.0,-0.1099
2025-11-05,9.05,9.15,9.02,9.13,38378.0,0.44
2025-11-06,9.14,9.15,9.01,9.05,37867.0,-0.8762
2025-11-07,9.05,9.16,9.04,9.13,43230.0,0.884
2025-11-10,9.1,9.24,9.09,9.23,64858.0,1.0953
2025-11-11,9.22,9.3,9.16,9.29,64030.0,0.6501
2025-11-12,9.29,9.39,9.27,9.31,75044.0,0.2153
2025-11-13,9.31,9.34,9.17,9.34,68869.0,0.3222
2025-11-14,9.34,9.55,9.31,9.45,142629.0,1.1777
2025-11-17,9.46,9.5,9.31,9.35,82915.0,-1.0582
2025-11-18,9.3,9.43,9.18,9.22,67995.0,-1.3904
2025-11-19,9.23,9.25,9.04,9.08,58593.0,-1.5184
2025-11-20,9.12,9.14,8.94,9.03,60481.0,-0.5507
2025-11-21,8.94,9.06,8.6,8.62,68785.0,-4.5404
2025-11-24,8.65,8.84,8.63,8.78,53288.0,1.8561
2025-11-25,8.8,9.05,8.77,8.97,48223.0,2.164
2025-11-26,8.98,9.2,8.92,8.93,61626.0,-0.4459
2025-11-27,8.95,9.09,8.82,9.02,55013.0,1.0078
2025-11-28,8.94,9.01,8.77,8.89,63099.0,-1.4412
2025-12-01,8.92,9.09,8.87,9.05,51533.0,1.7998
2025-12-02,9.05,9.09,8.92,9.01,38399.0,-0.442
2025-12-03,9.04,9.19,8.92,9.12,63418.0,1.2209
2025-12-04,9.1,9.12,8.97,9.07,41400.0,-0.5482
2025-12-05,9.06,9.06,8.85,8.94,57470.0,-1.4333
2025-12-08,8.97,9.04,8.89,8.91,42717.0,-0.3356
2025-12-09,8.88,8.92,8.72,8.73,45906.0,-2.0202
2025-12-10,8.7,8.75,8.57,8.69,45330.0,-0.4582
2025-12-11,8.73,8.73,8.53,8.55,38760.0,-1.611
2025-12-12,8.6,8.6,8.43,8.43,41999.0,-1.4035
2025-12-15,8.43,8.52,8.37,8.45,27040.0,0.2372
2025-12-16,8.49,8.52,8.37,8.4,40452.0,-0.5917
2025-12-17,8.37,8.47,8.3,8.46,30763.0,0.7143
2025-12-18,8.42,8.68,8.37,8.65,40945.0,2.2459
2025-12-19,8.63,9.52,8.58,9.52,246571.0,10.0578
2025-12-22,9.99,10.46,9.57,9.62,650002.0,1.0504
2025-12-23,9.37,9.48,9.14,9.25,351553.0,-3.8462
2025-12-24,9.24,9.25,9.07,9.09,190983.0,-1.7297
2025-12-25,9.03,9.07,8.92,8.96,153865.0,-1.4301
2025-12-26,8.96,8.98,8.74,8.8,179227.0,-1.7857
2025-12-29,8.74,8.82,8.68,8.82,122609.0,0.2273
2025-12-30,8.75,8.77,8.6,8.61,135970.0,-2.381
2025-12-31,8.61,8.64,8.53,8.64,77872.0,0.3484
2026-01-05,8.6,8.79,8.57,8.78,108003.0,1.6204
2026-01-06,8.75,8.82,8.71,8.8,84949.0,0.2278
2026-01-07,8.76,8.8,8.69,8.74,72941.0,-0.6818
2026-01-08,8.73,8.8,8.72,8.77,58825.0,0.3432
2026-01-09,8.78,8.79,8.72,8.78,65471.0,0.114
2026-01-12,8.75,8.82,8.73,8.82,104865.0,0.4556
2026-01-13,8.82,9.11,8.77,9.02,190729.0,2.2676
2026-01-14,9.02,9.1,8.87,8.99,141870.0,-0.3326
2026-01-15,8.97,9.04,8.88,8.94,69171.0,-0.5562
2026-01-16,8.94,8.96,8.73,8.75,82179.0,-2.1253
2026-01-19,8.71,8.91,8.69,8.9,64553.0,1.7143
2026-01-20,8.91,8.93,8.82,8.91,51526.0,0.1124
2026-01-21,8.9,8.94,8.84,8.92,56424.0,0.1122
2026-01-22,8.91,8.99,8.87,8.99,56644.0,0.7848
2026-01-23,8.98,9.08,8.98,9.04,86515.0,0.5562
2026-01-26,9.1,9.3,9.0,9.25,175532.0,2.323
2026-01-27,9.2,9.2,8.84,9.08,121562.0,-1.8378
2026-01-28,9.06,9.07,8.8,8.81,95953.0,-2.9736
2026-01-29,8.87,8.88,8.66,8.72,79582.0,-1.0216
2026-01-30,8.72,8.86,8.69,8.8,56154.0,0.9174
2026-02-02,8.8,9.45,8.72,9.21,259297.0,4.6591
2026-02-03,9.28,9.68,9.09,9.65,335016.0,4.7774
2026-02-04,9.55,9.95,9.43,9.93,367145.0,2.9016
2026-02-05,9.85,10.15,9.56,10.02,372551.0,0.9063
2026-02-06,10.56,11.02,9.62,9.63,704263.0,-3.8922
2026-02-09,9.69,9.8,9.22,9.36,453820.0,-2.8037
2026-02-10,9.36,9.64,9.22,9.43,265117.0,0.7479
2026-02-11,9.42,9.45,9.22,9.22,149207.0,-2.2269
2026-02-12,9.22,9.32,9.08,9.11,111022.0,-1.1931
2026-02-13,9.08,9.21,8.96,8.96,115257.0,-1.6465
2026-02-24,9.0,9.09,8.94,9.05,118849.0,1.0045
2026-02-25,9.1,9.18,9.02,9.1,104888.0,0.5525
2026-02-26,9.12,9.17,9.0,9.04,89571.0,-0.6593
2026-02-27,9.01,9.05,8.98,9.05,60342.0,0.1106
2026-03-02,8.9,8.94,8.65,8.77,135110.0,-3.0939
2026-03-03,8.77,8.89,8.61,8.62,93652.0,-1.7104
2026-03-04,8.56,8.59,8.37,8.45,86578.0,-1.9722
2026-03-05,8.58,8.66,8.52,8.59,62243.0,1.6568
2026-03-06,8.57,8.8,8.51,8.79,68306.0,2.3283
2026-03-09,8.71,8.91,8.71,8.91,83246.0,1.3652
2026-03-10,8.92,9.16,8.91,9.15,99510.0,2.6936
2026-03-11,9.14,9.15,8.9,8.98,81046.0,-1.8579
2026-03-12,8.94,8.98,8.9,8.96,56481.0,-0.2227
2026-03-13,8.95,9.02,8.85,8.87,47061.0,-1.0045
2026-03-16,8.86,9.0,8.86,8.96,45023.0,1.0147
2026-03-17,8.97,9.04,8.86,8.88,56741.0,-0.8929
2026-03-18,8.84,8.96,8.76,8.95,52284.0,0.7883
2026-03-19,8.87,8.93,8.72,8.75,42817.0,-2.2346
2026-03-20,8.75,8.84,8.53,8.54,52470.0,-2.4
2026-03-23,8.39,8.5,7.85,7.94,109575.0,-7.0258
2026-03-24,8.09,8.35,7.98,8.34,75323.0,5.0378
2026-03-25,8.39,8.42,8.29,8.38,44219.0,0.4796
2026-03-26,8.38,8.5,8.29,8.31,35839.0,-0.8353
2026-03-27,8.25,8.58,8.2,8.57,52107.0,3.1288
2026-03-30,9.43,9.43,8.84,9.01,384734.0,5.1342
2026-03-31,8.97,9.32,8.78,8.85,260470.0,-1.7758
2026-04-01,8.88,9.06,8.73,8.99,198503.0,1.5819
2026-04-02,8.97,9.05,8.85,8.92,120972.0,-0.7786
