# A-share price data for 000333.SZ from 2025-12-01 to 2026-04-03
# Records: 82

Date,Open,High,Low,Close,Amount,PctChange
2025-12-01,79.8,80.2,79.17,80.0,303520.0,
2025-12-02,80.1,81.66,80.01,81.56,378049.0,1.95
2025-12-03,81.55,82.88,81.26,82.17,368660.0,0.7479
2025-12-04,82.13,83.17,81.77,81.89,289180.0,-0.3408
2025-12-05,81.89,82.59,81.7,82.23,246165.0,0.4152
2025-12-08,83.0,83.1,81.04,81.81,273365.0,-0.5108
2025-12-09,81.5,81.56,79.94,80.2,356479.0,-1.968
2025-12-10,79.98,80.62,79.7,80.07,245720.0,-0.1621
2025-12-11,80.12,80.56,79.18,79.3,272945.0,-0.9617
2025-12-12,79.35,79.98,79.2,79.32,328959.0,0.0252
2025-12-15,79.69,81.1,79.45,80.41,365547.0,1.3742
2025-12-16,80.25,80.85,79.84,79.96,214231.0,-0.5596
2025-12-17,79.71,80.92,79.38,80.47,230282.0,0.6378
2025-12-18,80.27,80.61,79.51,79.83,214098.0,-0.7953
2025-12-19,79.85,79.9,78.8,79.45,278018.0,-0.476
2025-12-22,79.3,79.79,78.9,79.16,245037.0,-0.365
2025-12-23,79.38,80.31,79.02,79.65,254680.0,0.619
2025-12-24,79.43,79.94,78.76,78.8,217047.0,-1.0672
2025-12-25,78.52,78.88,78.18,78.59,226758.0,-0.2665
2025-12-26,78.59,79.07,78.55,78.87,214107.0,0.3563
2025-12-29,78.79,79.72,78.25,78.41,256974.0,-0.5832
2025-12-30,78.16,79.38,78.12,78.85,213622.0,0.5612
2025-12-31,78.87,80.28,77.85,78.15,287758.0,-0.8878
2026-01-05,80.04,80.5,78.25,78.68,442947.0,0.6782
2026-01-06,78.58,79.49,77.39,78.84,454525.0,0.2034
2026-01-07,78.99,79.58,78.06,79.37,401968.0,0.6722
2026-01-08,79.37,79.48,78.31,79.03,312537.0,-0.4284
2026-01-09,79.6,79.95,79.3,79.77,341081.0,0.9364
2026-01-12,79.78,79.79,77.81,78.62,525014.0,-1.4416
2026-01-13,77.9,78.0,76.1,76.2,945712.0,-3.0781
2026-01-14,76.2,77.63,75.91,77.15,539684.0,1.2467
2026-01-15,77.46,78.05,76.89,77.22,360314.0,0.0907
2026-01-16,77.25,77.85,77.15,77.31,371869.0,0.1166
2026-01-19,77.37,78.14,77.05,77.62,336374.0,0.401
2026-01-20,77.66,79.37,77.2,79.0,455358.0,1.7779
2026-01-21,78.96,78.96,77.55,77.78,368086.0,-1.5443
2026-01-22,78.25,78.26,77.37,77.49,344041.0,-0.3728
2026-01-23,77.57,77.79,76.71,76.78,373707.0,-0.9162
2026-01-26,76.8,77.87,76.02,76.35,473132.0,-0.56
2026-01-27,76.4,77.1,75.92,76.1,325807.0,-0.3274
2026-01-28,76.09,76.36,75.0,75.34,628937.0,-0.9987
2026-01-29,75.7,78.08,75.47,77.88,622441.0,3.3714
2026-01-30,77.6,79.0,77.4,77.59,532508.0,-0.3724
2026-02-02,77.6,78.48,77.0,77.85,345916.0,0.3351
2026-02-03,77.8,78.89,77.43,77.91,345037.0,0.0771
2026-02-04,78.1,79.88,78.01,79.81,389103.0,2.4387
2026-02-05,79.83,81.16,79.63,80.45,429198.0,0.8019
2026-02-06,80.43,80.8,79.4,79.54,312566.0,-1.1311
2026-02-09,79.18,79.34,78.41,79.16,334670.0,-0.4777
2026-02-10,79.21,80.28,78.88,80.19,306184.0,1.3012
2026-02-11,80.0,80.21,79.6,79.69,198066.0,-0.6235
2026-02-12,79.46,80.06,79.3,79.8,188784.0,0.138
2026-02-13,79.51,80.0,78.91,79.05,255102.0,-0.9398
2026-02-24,80.2,80.6,79.52,79.52,252514.0,0.5946
2026-02-25,80.28,80.77,79.29,79.7,285524.0,0.2264
2026-02-26,80.15,80.2,78.75,79.25,253271.0,-0.5646
2026-02-27,79.03,79.5,78.5,78.64,201604.0,-0.7697
2026-03-02,78.0,78.06,76.7,77.45,274786.0,-1.5132
2026-03-03,77.46,77.64,76.5,76.56,288000.0,-1.1491
2026-03-04,76.0,76.52,75.37,76.16,284934.0,-0.5225
2026-03-05,76.6,76.99,76.12,76.27,196872.0,0.1444
2026-03-06,76.22,76.72,75.76,76.52,206629.0,0.3278
2026-03-09,75.73,76.1,75.02,75.41,259478.0,-1.4506
2026-03-10,75.75,76.84,75.75,76.6,209086.0,1.578
2026-03-11,76.6,77.72,76.1,77.39,251358.0,1.0313
2026-03-12,77.3,77.75,76.93,77.4,193305.0,0.0129
2026-03-13,76.95,77.46,76.65,76.86,187293.0,-0.6977
2026-03-16,76.52,76.88,75.68,76.64,205600.0,-0.2862
2026-03-17,76.98,77.6,76.6,76.6,214075.0,-0.0522
2026-03-18,76.74,77.3,76.3,77.06,200716.0,0.6005
2026-03-19,76.43,76.98,75.93,76.0,232729.0,-1.3756
2026-03-20,75.92,76.15,75.12,75.12,219126.0,-1.1579
2026-03-23,73.95,73.97,72.35,73.37,462008.0,-2.3296
2026-03-24,73.73,74.42,72.8,74.23,267147.0,1.1721
2026-03-25,74.5,74.97,73.95,74.8,184964.0,0.7679
2026-03-26,74.89,75.54,74.18,74.32,177085.0,-0.6417
2026-03-27,72.9,74.95,72.8,74.78,319125.0,0.6189
2026-03-30,73.35,74.0,71.77,72.1,456227.0,-3.5838
2026-03-31,75.05,77.32,74.31,76.35,694915.0,5.8946
2026-04-01,76.5,77.4,76.34,76.84,273616.0,0.6418
2026-04-02,76.85,77.84,76.58,77.37,326318.0,0.6897
2026-04-03,77.3,77.35,76.2,76.35,172773.0,-1.3183
